algorithm,data_set,k,silhouette,purity,duration
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.23723769187927246
affinity,glass.csv,5,0.525221470632711,0.808411214953271,0.06618261337280273
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.029464244842529297
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.016721487045288086
affinity,processed_breast_cancer.csv,20,0.22735387709077398,0.7472924187725631,0.030939340591430664
affinity,glass.csv,74,0.6031060540185675,0.9626168224299047,0.05006766319274902
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.027367115020751953
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.0170135498046875
affinity,processed_breast_cancer.csv,20,0.22408184231305736,0.7472924187725632,0.030373096466064453
affinity,glass.csv,75,0.6252379245721662,0.8785046728971961,0.051171064376831055
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.030349254608154297
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.02517557144165039
affinity,processed_breast_cancer.csv,20,0.228244617218029,0.7472924187725631,0.03271770477294922
affinity,glass.csv,52,0.5634468522034696,0.8831775700934579,0.05704855918884277
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.02672576904296875
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.018002033233642578
affinity,processed_breast_cancer.csv,19,0.22932259765530363,0.7436823104693141,0.040000200271606445
affinity,glass.csv,4,0.5464062700026359,0.8177570093457942,0.0570526123046875
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.031121253967285156
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.016095399856567383
affinity,processed_breast_cancer.csv,19,0.22747716422289596,0.7436823104693141,0.032679080963134766
affinity,glass.csv,8,0.5276086648304825,0.8738317757009344,0.05000782012939453
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.028072357177734375
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.018024921417236328
affinity,processed_breast_cancer.csv,19,0.22722272657948095,0.7436823104693141,0.031041622161865234
affinity,glass.csv,63,0.5637560844495029,0.957943925233643,0.06451582908630371
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.02835845947265625
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.01563882827758789
affinity,processed_breast_cancer.csv,20,0.22567021530354173,0.7472924187725632,0.027960777282714844
affinity,glass.csv,48,0.5556506776179403,0.8831775700934579,0.0511479377746582
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.026951313018798828
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.0164182186126709
affinity,processed_breast_cancer.csv,20,0.22748115759747775,0.7472924187725632,0.02648758888244629
affinity,glass.csv,72,0.5587181745412292,0.9252336448598119,0.05208778381347656
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.036440372467041016
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.018038034439086914
affinity,processed_breast_cancer.csv,20,0.22704051634862676,0.7472924187725631,0.03348827362060547
affinity,glass.csv,7,0.530445406452669,0.8691588785046728,0.06378912925720215
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.03753662109375
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.017464399337768555
affinity,processed_breast_cancer.csv,20,0.22511239851806533,0.7472924187725632,0.027610301971435547
